name;healthCardAndPinPhone;healthCardAndPinMail;healthCardAndPinUrl;pinUrl
AOK Baden-Württemberg;;a99_egk@bw.aok.de;;
AOK Bayern;00498922844050;;;
AOK Bremen;004942117610;info@hb.aok.de;https://www.aok.de/pk/bremen/inhalt/elektronische-gesundheitskarte-3/;
AOK Bremerhaven;0049471160;info@hb.aok.de;https://www.aok.de/pk/bremen/inhalt/elektronische-gesundheitskarte-3/;
AOK - Die Gesundheitskasse Hessen;;service@he.aok.de;;
AOK - Die Gesundheitskasse Niedersachsen;00498000265637;;;
AOK Nordost;;eGK_online@nordost.aok.de;;
AOK Nordwest - Die Gesundheitskasse;00498002655060;;;
AOK PLUS - Die Gesundheitskasse für Sachsen und Thüringen;;;https://www.aok.de/pk/plus/inhalt/elektronische-gesundheitskarte-anfordern/;https://www.aok.de/pk/plus/inhalt/elektronische-gesundheitskarte-11/
AOK Rheinland/Hamburg - Die Gesundheitskasse;;aok@rh.aok.de;;
AOK Rheinland-Pfalz/Saarland - Die Gesundheitskasse;;;https://www.aok.de/pk/rps/inhalt/die-haeufigsten-fragen-und-antworten-zum-e-rezept-4/;
AOK Sachsen-Anhalt - Die Gesundheitskasse;004908002265725;;;
Audi BKK;;;https://www.audibkk.de/e-rezept-gematik-egkpin/;https://www.audibkk.de/e-rezept-gematik-pin/
BKK Deutsche Bahn AG;;;https://www.bahn-bkk.de/egk-erezept;https://www.bahn-bkk.de/egk-erezept
BKK Deutsche Bank AG;;;https://www.bkkdb.de/leistungen-beratung/alle-leistungen/alle-leistungen-von-a-z/versichertenkarte;
BARMER;00498003331010;;https://www.barmer.de/gematik-eRezept;
DIE BERGISCHE KRANKENKASSE;;;https://www.bergische-krankenkasse.de/digital/e-rezept;https://www.bergische-krankenkasse.de/digital/e-rezept
Bertelsmann BKK;;;https://www.bertelsmann-bkk.de/erezept-egk-pin;https://www.bertelsmann-bkk.de/erezept-egk-pin
BIG direkt gesund;004980054565456;;https://www.big-direkt.de/de/erezept-der-gematik-nutzen;https://www.big-direkt.de/de/erezept-der-gematik-nutzen
BKK Akzo Nobel Bayern;;;https://www.bkk-akzo.de/service/elektronische-gesundheitskarte-egk;
BKK B. Braun Aesculap;;;https://www.bkk-bba.de/egk-pin-bestellen;https://www.bkk-bba.de/pin-bestellen
BKK BPW Bergische Achsen KG;;;;
BKK EUREGIO;;;https://www.bkk-euregio.de/elektronische-gesundheitskarte;https://www.bkk-euregio.de/elektronische-gesundheitskarte
BKK EVM;;;;
BKK EWE;0049441350285108;versicherung@bkk-ewe.de;;
BKK Diakonie;0049521329876120;;;
BKK exklusiv;;;https://bkkexklusiv.de/gesundheitskarte;
BKK Faber-Castell & Partner;;erezept@bkk-faber-castell.de;;
BKK firmus;004942164343;;https://www.bkk-firmus.de/beratung-und-service/online-tools/e-rezept.html;
BKK Freudenberg;004962016905001;;;
BKK GILDEMEISTER SEIDENSTICKER;00498000255255;;https://www.bkkgs.de/e-rezept;https://www.bkkgs.de/e-rezept
BKK GRILLO-WERKE AG;;;;
BKK Groz-Beckert;;info@bkk-gb.de;;
BKK Herford Minden Ravensberg;;;;
BKK Herkules;0049561208550;info@bkk-herkules.de;https://www.bkk-herkules.de/service/gesundheitskarte-und-lichtbild/;
BKK HMR;004952211026210;;;
BKK KARL MAYER;;;;
BKK Linde;00496117366781;egk@bkk-linde.de;https://bkkln.de/epa-egkpin;https://bkkln.de/epa-egkpin
BKK Melitta HMR;004957197590;info@bkk-melitta.de;https://www.bkk-melitta.de/;
BKK MAHLE;;;https://www.bkk-mahle.de/service/elektronische-gesundheitskarte-egk;
BKK Miele;00498008002189;;https://www.miele-bkk.de/service/elektronische-gesundheitskarte;
BKK MTU;00497541907100;info@bkk-mtu.de;https://www.bkk-mtu.de/unsere-leistungen/leistungen-a-z/elektronische-gesundheitskarte-egk-bkk-mtu-service/;
BKK PFAFF;0049631318760;info@bkk-pfaff.de;;
BKK Pfalz;;;https://www.bkkpfalz.de/service-informationen/elektronische-gesundheitskarte;
BKK ProVita;00498006648808;;https://bkk-provita.de/service-info/e-rezept/;
BKK Public;00495341405600;service@bkk-public.de;;
BKK PricewaterhouseCoopers;00498002557920;erezept@bkk-pwc.de;;
BKK Rieker RICOSTA Weisser;004974625793030;;;
BKK RWE;;;https://www.bkkrwe.de/e-rezept;https://www.bkkrwe.de/e-rezept
BKK Salzgitter;00495341405700;service@bkk-salzgitter.de;;
BKK SBH;;;https://www.bkk-sbh.de/e-rezept/;https://bkk-sbh.de/e-rezept/
