Kassenname;eGK und PIN Rufnummer;eGK und PIN eMail;eGK und PIN URL;PIN Rufnummer;PIN eMail;PIN URL
AOK Baden-Württemberg;;a99_egk@bw.aok.de;;;;
AOK Bayern;00498922844050;;;;;
AOK Bremen/Bremerhaven;;;https://www.aok.de/pk/bremen/inhalt/elektronische-gesundheitskarte-3/;;;
AOK Hessen;;service@he.aok.de;;;;
AOK Niedersachsen;00498000265637;;;;;
AOK Nordost;;eGK_online@nordost.aok.de;;;;
AOK Nordwest;00498002655060;;;;;
AOK PLUS;;;https://www.aok.de/pk/plus/inhalt/elektronische-gesundheitskarte-11/;;;
AOK Rheinland/Hamburg;;aok@rh.aok.de;;;;
AOK Rheinland-Pfalz/Saarland;;;https://www.aok.de/pk/rps/inhalt/die-haeufigsten-fragen-und-antworten-zum-e-rezept-4/;;;
AOK Sachsen-Anhalt;004908002265725;;;;;
Audi BKK;;;https://www.audibkk.de/e-rezept-gematik-egkpin/;;;https://www.audibkk.de/e-rezept-gematik-pin/
BAHN-BKK;;;https://www.bahn-bkk.de/egk-erezept;;;https://www.bahn-bkk.de/egk-erezept
BARMER;;;https://www.barmer.de/gematik-eRezept;;;
Bergische Krankenkasse;;;https://www.bergische-krankenkasse.de/digital/e-rezept;;;https://www.bergische-krankenkasse.de/digital/e-rezept
Bertelsmann BKK;004952418074120;nicole.ackemann@bertelsmann-bkk.de;https://www.bertelsmann-bkk.de/erezept-egk-pin;;;https://www.bertelsmann-bkk.de/erezept-egk-pin
BIG direkt gesund;;;https://www.big-direkt.de/de/erezept-der-gematik-nutzen;;;https://www.big-direkt.de/de/erezept-der-gematik-nutzen
BKK Akzo Nobel Bayern;;;https://www.bkk-akzo.de/service/elektronische-gesundheitskarte-egk;;;
BKK B. Braun Aesculap;;;https://www.bkk-bba.de/egk-pin-bestellen;;;https://www.bkk-bba.de/pin-bestellen
BKK EUREGIO;;;;;;https://www.bkk-euregio.de/elektronische-gesundheitskarte
BKK EWE;0049441350285108;versicherung@bkk-ewe.de;;;;
BKK Faber-Castell & Partner;;erezept@bkk-faber-castell.de;;;;
BKK firmus;004942164343;;https://www.bkk-firmus.de/beratung-und-service/online-tools/e-rezept.html;;;
BKK Freudenberg;004962016905001;;;;;
BKK GILDEMEISTER SEIDENSTICKER;00498000255255;;https://www.bkkgs.de/e-rezept;;;https://www.bkkgs.de/e-rezept
BKK Herkules;0049561208550;info@bkk-herkules.de;https://www.bkk-herkules.de/service/gesundheitskarte-und-lichtbild/;;;
BKK HMR;004952211026210;;;;;
BKK Linde;00496117366781;egk@bkk-linde.de;https://bkkln.de/epa-egkpin;;;https://bkkln.de/epa-egkpin
BKK MAHLE;;;https://www.bkk-mahle.de/service/elektronische-gesundheitskarte-egk;;;
BKK Miele;00498008002189;;https://www.miele-bkk.de/service/elektronische-gesundheitskarte;;;
BKK MTU;00497541907100;info@bkk-mtu.de;https://www.bkk-mtu.de/unsere-leistungen/leistungen-a-z/elektronische-gesundheitskarte-egk-bkk-mtu-service/;;;
BKK PFAFF;0049631318760;info@bkk-pfaff.de;;;;
BKK Pfalz;;;https://www.bkkpfalz.de/service-informationen/elektronische-gesundheitskarte;;;
BKK ProVita;00498006648808;;https://bkk-provita.de/service-info/e-rezept/;;;
BKK Public;00495341405600;service@bkk-public.de;;;;
BKK PwC;08002557920;erezept@bkk-pwc.de;;;;
BKK RWE;;;https://www.bkkrwe.de/e-rezept;;;https://www.bkkrwe.de/e-rezept
BKK Salzgitter;00495341405700;service@bkk-salzgitter.de;;;;
BKK SBH;;;https://bkk-sbh.de/e-rezept/;;;https://bkk-sbh.de/e-rezept/
BKK Scheufelen;;;https://bkk-scheufelen.de/e-rezept;;;https://bkk-scheufelen.de/e-rezept
BKK Technoform;;;https://www.bkk-technoform.de/index.php?p=page&ID=11;;;
BKK VBU;;info@bkk-vbu.de;;;;
BKK VDN;0049230498260;;;;;
BKK VerbundPlus;;;https://www.bkk-verbundplus.de/nfc-karte-pin;;;https://www.bkk-verbundplus.de/nfc-karte-pin
BKK Voralb;004970229324639;beitraege@bkk-voralb.de;;;;
BKK Werra-Meissner;00490565174510;info@bkk-wm.de;;;;
BKK WIRTSCHAFT& FINANZEN;;;https://www.bkk-wf.de/e-rezept/;;;
BKK Würth;0049794091900;info@bkk-wuerth.de;;;;
BKK ZF & Partner;00493381306652512;;;;;
BKK_DürkoppAdler;00495215578470;eRezept@bkk-da.de;;;;
BKK24;;;https://bkk24.de/e-rezept;;;https://bkk24.de/e-rezept
